,CODE,SCHOOL,ETHNICITY,N_GRADS,GRAD_PERCENTAGE,YEAR
5,402,Benjamin Banneker HS,All,108,1,2019
15,436,Ron Brown College Preparatory High School,All,n < 10,,2019
19,442,Columbia Heights EC (CHEC),All,220,0.8148148148148148,2019
29,450,Anacostia HS,All,51,0.49038461538461536,2019
38,452,Ballou HS,All,152,0.5823754789272031,2019
46,454,Cardozo EC,All,115,0.5299539170506913,2019
56,455,Coolidge HS,All,76,0.6608695652173913,2019
64,456,Roosevelt STAY,All,14,0.08284023668639054,2019
73,457,Eastern HS,All,148,0.783068783068783,2019
84,458,McKinley Technology HS,All,136,0.951048951048951,2019
95,459,Roosevelt HS,All,105,0.6402439024390244,2019
106,462,Ballou STAY,All,17,0.1259259259259259,2019
115,463,Woodrow Wilson HS,All,417,0.8323353293413174,2019
128,464,"Woodson, H.D. HS",All,118,0.6555555555555556,2019
136,466,School Without Walls HS,All,146,0.9931972789115646,2019
147,467,Dunbar HS,All,126,0.7590361445783133,2019
156,471,Duke Ellington School of the Arts,All,111,0.9736842105263158,2019
167,474,Washington Metropolitan HS,All,20,0.39215686274509803,2019
175,478,"Phelps Architecture, Construction and Engineering HS",All,47,0.9591836734693877,2019
184,884,Luke C. Moore HS,All,21,0.14482758620689656,2019
193,DCPS,DC Public Schools,All,2170,0.650869826034793,2019
5,402,Benjamin Banneker HS,All,113,1,2021
14,436,Ron Brown College Preparatory High School,All,42,0.7368421052631579,2021
19,442,Columbia Heights EC (CHEC),All,178,0.8018018018018018,2021
30,450,Anacostia HS,All,42,0.7368421052631579,2021
36,452,Ballou HS,All,131,0.6968085106382979,2021
44,454,Cardozo EC,All,78,0.6666666666666666,2021
53,455,Coolidge HS,All,69,0.711340206185567,2021
62,456,Roosevelt STAY HS,All,20,0.12738853503184713,2021
71,457,Eastern HS,All,116,0.725,2021
81,458,McKinley Technology HS,All,153,0.9935064935064936,2021
92,459,Roosevelt HS,All,119,0.6611111111111111,2021
103,462,Ballou STAY HS,All,n < 10,,2021
110,463,Woodrow Wilson HS,All,418,0.8874734607218684,2021
122,464,"Woodson, H.D. HS",All,75,0.7075471698113207,2021
131,465,Tuition Grant - DCPS Non Public,All,17,0.20481927710843373,2021
140,466,School Without Walls HS,All,142,0.9530201342281879,2021
151,467,Dunbar HS,All,164,0.7454545454545455,2021
161,471,Duke Ellington School of the Arts,All,117,0.9915254237288136,2021
173,474,Washington Metropolitan High School,All,n < 10,,2021
179,478,"Phelps Architecture, Construction and Engineering HS",All,44,0.9565217391304348,2021
187,950,Inspiring Youth Program,All,n < 10,,2021
192,861,Youth Services Center,All,n < 10,,2021
199,884,Luke C. Moore HS,All,n < 10,,2021
208,1058,Bard High School Early College DC (Bard DC),All,15,1,2021
216,DCPS,DC Public Schools,All,2063,0.7060232717316907,2021
